Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"35 Noelana Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132802846,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,"$638,000",4,2,1,400,m²,House,Sold on 16 Mar 2020
"39 Taminga Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132780838,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Stuart Collins,https://i2.au.reastatic.net/150x200/9c1ed538739d8d5310e4104e4f66778279e86df438caf4ffb5d13e3d42630161/main.jpg,Sold,"$601,000",3,2,4,546,m²,House,Sold on 09 Mar 2020
"58 Hellawell Road, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132095494,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Emily Xiong,https://i2.au.reastatic.net/150x200/d8a1d93a0740bbbaa88c5015863d2dae840ad32be0df2268776899c24f90735e/main.jpg,Sold,"$685,000",7,2,2,652,m²,House,Sold on 02 Mar 2020
"162 Morden Road, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132716730,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Sam Deng,https://i2.au.reastatic.net/150x200/c877976e8e8ab8e32d42587252d0624c635d7c7bff1ea6e2bdc9dfb51f45ea7b/main.jpg,Sold,"$430,000",3,1,2,405,m²,House,Sold on 26 Feb 2020
"60 Shylock Crescent, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132754054,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jess Chia,https://i2.au.reastatic.net/150x200/e08e0effa5268afa8cd83747c84f88dc8775bd4801c193db0710e066c742de79/main.jpg,Sold,"$741,000",3,2,2,627,m²,House,Sold on 24 Feb 2020
"18/12 Grandchester Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-townhouse-qld-sunnybank+hills-132043702,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Shirley Chow,https://i2.au.reastatic.net/150x200/bc0c32160b560b8559d7868d205f7fa1afb5f55132106e4110d75e27b39cd20c/main.jpg,Sold,"$355,000",3,2,1,189,m²,Townhouse,Sold on 21 Feb 2020
"40 Pompadour Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132420774,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,,,Sold,"$652,000",4,3,2,607,m²,House,Sold on 17 Feb 2020
"3 Venosa Place, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132525314,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Shirley Chow,https://i2.au.reastatic.net/150x200/bc0c32160b560b8559d7868d205f7fa1afb5f55132106e4110d75e27b39cd20c/main.jpg,Sold,"$660,000",4,2,2,691,m²,House,Sold on 12 Feb 2020
"23 Tallowood Way, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132344094,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,"$585,000",4,2,2,557,m²,House,Sold on 03 Feb 2020
"501 Beenleigh Road, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132529598,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Peter Florentzos,https://i2.au.reastatic.net/150x200/84ea12367769ad5dbeb41bbefb7309721995ae91c7f6a2b1a5020cd2fc86afde/main.jpg,Sold,"$380,000",3,1,2,607,m²,House,Sold on 03 Feb 2020
"23 Pearlfrost Place, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132073582,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$1,065,000",6,4,4,667,m²,House,Sold on 31 Jan 2020
"4 Raider Place, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132529582,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Peter Florentzos,https://i2.au.reastatic.net/150x200/84ea12367769ad5dbeb41bbefb7309721995ae91c7f6a2b1a5020cd2fc86afde/main.jpg,Sold,"$1,008,000",6,3,2,918,m²,House,Sold on 31 Jan 2020
