Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"61 Calliope Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128704854,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Zora Liu,https://i2.au.reastatic.net/150x200/686eee311c5f8f94d74b1f023f7f83f126247c77ef41a410319708f890bf8bbb/main.jpg,Sold,"$529,000",3,2,2,550,m²,House,Sold on 25 Sep 2018
"9 Bremer Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128979046,https://i2.au.reastatic.net/340x64/02e5daf998da35218a6c3b3a0565ce1f328a158e41712f9e0030ade93ae92de2/logo.jpg,,,Sold,"$510,000",3,1,2,552,m²,House,Sold on 24 Sep 2018
"8 Vista Circuit, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128588282,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Zora Liu,https://i2.au.reastatic.net/150x200/686eee311c5f8f94d74b1f023f7f83f126247c77ef41a410319708f890bf8bbb/main.jpg,Sold,"$582,800",4,1,1,441,m²,House,Sold on 21 Sep 2018
"10 Davina Court, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-129150298,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Alex Zhang,https://i2.au.reastatic.net/150x200/6d9fc1fe8bf19e4807e835749fd8209583ce1bb436a6a5b6c65b424e29fb9fc3/main.jpg,Sold,"$540,000",3,1,1,714,m²,House,Sold on 17 Sep 2018
"13/34 Brandon Road, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128870694,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Shirley Chow,https://i2.au.reastatic.net/150x200/bc0c32160b560b8559d7868d205f7fa1afb5f55132106e4110d75e27b39cd20c/main.jpg,Sold,"$352,500",3,2,2,292,m²,Townhouse,Sold on 14 Sep 2018
"10/115 GUMTREE STREET, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128664026,https://i2.au.reastatic.net/340x64/f4011f67b87f98df550e75d8fdc985ae630102b7ea1c29697c5e985c1367bcf8/logo.jpg,Joel Ruge,https://i2.au.reastatic.net/150x200/2d4784bb54700ef3f7c8348223931e8787b69ca0fe962c419999d54688aefad0/main.jpg,Sold,"$343,000",3,2,1,,,Townhouse,Sold on 14 Sep 2018
"46 Condamine Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128677882,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,,,Sold,"$563,000",3,2,1,555,m²,House,Sold on 13 Sep 2018
"21/62 Brandon Road, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128637954,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Lachlan Smith,https://i2.au.reastatic.net/150x200/579d58db253bc6632f73e97d2b5c9117b39bd1226aa6871145be9acc6e20fe68/main.jpg,Sold,"$333,000",3,2,1,,,Townhouse,Sold on 12 Sep 2018
"105 Penarth Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128632614,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Karl Gillespie,https://i2.au.reastatic.net/150x200/f5e6d6853b48b6a024fda5d0155ba60e23475aebca7fba76f281a8b7462d9b85/main.jpg,Sold,"$550,000",4,2,,607,m²,House,Sold on 10 Sep 2018
"2 Toorak Place, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128741302,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$707,000",4,2,2,633,m²,House,Sold on 06 Sep 2018
"18/12 Marika Street, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128813074,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,,,Sold,"$360,000",3,1,2,188,m²,Townhouse,Sold on 06 Sep 2018
"30 Lemon Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128796682,https://i2.au.reastatic.net/340x64/db3708507988a900fdaccf2eef0c65054dc2219c44b29a75f8f0eeff5a350d82/logo.jpg,,,Sold,"$510,000",2,1,1,835,m²,House,Sold on 04 Sep 2018
"24 Comet Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128985326,https://i2.au.reastatic.net/340x64/3fbb0a1151f78609d030b6d209df92eb1f048c70a965d23618004befe58575a8/logo.jpg,,,Sold,"$507,000",3,1,1,555,m²,House,Sold on 04 Sep 2018
"32 Allamanda Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128685114,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,,,Sold,"$535,000",3,1,3,626,m²,House,Sold on 03 Sep 2018
"2/77 Nursery Avenue, Runcorn",https://www.realestate.com.au/sold/property-villa-qld-runcorn-129129762,https://i2.au.reastatic.net/340x64/594b0868d995b4188e967f2bef9024a9078e6cc6c170d47923627f990945aab1/logo.gif,Howard Tsang,https://i2.au.reastatic.net/150x200/2d6cb726bdc708ec3143e68ccd3eb5adaed37b271f9d7cb6ef1be1a2765f1b71/main.jpg,Sold,"$310,000",2,1,1,,,Villa,Sold on 31 Aug 2018
"23/2 Corella Place, Runcorn",https://www.realestate.com.au/sold/property-unit-qld-runcorn-128390142,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,,,Sold,"$310,000",2,1,2,,,Unit,Sold on 30 Aug 2018
"1 Carpentaria Place, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128704450,https://i2.au.reastatic.net/340x64/5189ecc0d52fa13cb364635d9aeb8b628e45acfea27eb8a18e6d42cfc047cc2b/logo.jpg,Happy Helen,https://i2.au.reastatic.net/150x200/ea168175cc1ecd3e08f84c564db3832d8989da2338d3d75e7b53c7e089965630/main.jpg,Sold,"$685,000",4,2,2,827,m²,House,Sold on 27 Aug 2018
"16 Basking Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-129050586,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Benny Liu,https://i2.au.reastatic.net/150x200/2df9bcf70011590cf91e162fc96320d5310577d3017639a5b24131a49111f671/main.jpg,Sold,"$660,000",3,2,2,773,m²,House,Sold on 27 Aug 2018
"18 Fairmont Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-128008710,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,,,Sold,"$630,000",4,2,4,754,m²,House,Sold on 27 Aug 2018
