Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Bedrooms,Bathrooms,Car_park,Size_unit,Type,Sold_date,Suburb,Price,Size,Sold_year
"9 Redgum Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131669538,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Peter Son,https://i2.au.reastatic.net/150x200/4784b3db60de94459c5080da1ba83a9d99d8e863448fa90f89e9f14ab4c475d0/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-11-05, Calamvale,765000.0,827.0,2019
"41/2 Diamantina Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-132066138,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Karl Gillespie,https://i2.au.reastatic.net/150x200/f5e6d6853b48b6a024fda5d0155ba60e23475aebca7fba76f281a8b7462d9b85/main.jpg,Sold,3.0,2.0,2.0,m²,Townhouse,2019-11-04, Calamvale,347000.0,152.0,2019
"4 Moneghetti Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131888402,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jason Song,https://i2.au.reastatic.net/150x200/486f78bcd2dbd6b3d6ea693e89b0fa02b17dad40b1a666cb1ea6ea0d9fdf378d/main.jpg,Sold,3.0,2.0,2.0,m²,House,2019-10-30, Calamvale,531000.0,550.0,2019
"9/35 Clarence Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-131992290,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,3.0,2.0,2.0,m²,Townhouse,2019-10-30, Calamvale,401000.0,0.0,2019
"38 Eden Elm Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131963550,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-10-23, Calamvale,736000.0,750.0,2019
"18 Corypha Crescent, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131640694,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,unknown,unknown,Sold,4.0,2.0,2.0,m²,House,2019-10-22, Calamvale,548000.0,733.0,2019
"23/36 Benhiam Street, Calamvale",https://www.realestate.com.au/sold/property-villa-qld-calamvale-131110566,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,3.0,2.0,2.0,m²,Villa,2019-10-18, Calamvale,289000.0,133.0,2019
"19 Huegill Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131795590,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jason Song,https://i2.au.reastatic.net/150x200/486f78bcd2dbd6b3d6ea693e89b0fa02b17dad40b1a666cb1ea6ea0d9fdf378d/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-10-16, Calamvale,589000.0,462.0,2019
"3 Meadowbank Court, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-132113586,https://i2.au.reastatic.net/340x64/d8fae71c583948b968060cec550fb32d69831e046e16cd3171fee788c1624983/logo.gif,Jonathon Longstaff,https://i2.au.reastatic.net/150x200/09ff50781aab7d3241d79602a9bcfd9159ce9afe3cfca4a558db82ddba77cee4/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-10-12, Calamvale,557000.0,489.0,2019
"6 Meadowbank Court, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131789854,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jess Chia,https://i2.au.reastatic.net/150x200/e08e0effa5268afa8cd83747c84f88dc8775bd4801c193db0710e066c742de79/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-10-11, Calamvale,625000.0,450.0,2019
