Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"3/28 Appleby Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-126534850,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Lynda Simpson,https://i2.au.reastatic.net/150x200/c00ac8796c26db6ab6c9a41d01efef8fff3ea20d927b3ecb71aaa564a7a80564/main.jpg,Sold,"$305,000",3,2,1,,,Townhouse,Sold on 16 Nov 2017
"6 Bluebell Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126830190,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,Adam Muntazir,https://i2.au.reastatic.net/150x200/3e0a4eb5d1e0b613b07c15ac40c8834a75361e1fb247fdf8885b09fdd1f4f975/main.jpg,Sold,"$680,000",4,2,2,858,m²,House,Sold on 14 Nov 2017
"20 Sycamore Cl, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126626598,https://i2.au.reastatic.net/340x64/cfac3aa49a060cdaf075a7eb454018f409db1d04714cd47aa8817389145ad6f6/logo.jpg,Noel Thompson,https://i2.au.reastatic.net/150x200/aef5e47420f2923171edde21818229d0d219d81b496d4b16a05fc34f08c85569/main.jpg,Sold,"$884,000",5,4,2,919,m²,House,Sold on 11 Nov 2017
"33/20 Neiwand Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-126036154,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,,,Sold,"$346,000",3,2,2,171,m²,Townhouse,Sold on 10 Nov 2017
"3/88 Shelduck Place, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-126062102,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,"$385,888",3,2,2,152,m²,Townhouse,Sold on 09 Nov 2017
"6 Idris Court, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126071154,https://i2.au.reastatic.net/340x64/530f4c9b8f30b72e42e960cdf8d1a22a8d19ac590650f2afffd2c7fe69f71616/logo.gif,Tom Zhang,https://i2.au.reastatic.net/150x200/efdce063c147e81d72f1a7115179be4faeca57fbe6ae0b810f1008582181b18b/main.jpg,Sold,"$1,088,888",14,6,5,"1,412",m²,House,Sold on 06 Nov 2017
"5 Tinaroo Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126447594,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$563,000",4,2,2,320,m²,House,Sold on 06 Nov 2017
"1 Chestnut Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126276566,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,"$650,000",4,2,2,819,m²,House,Sold on 03 Nov 2017
"250 Algester Road, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126762878,https://i2.au.reastatic.net/340x64/adf93bc0d605e8633087ff6c0dd6cc7f4b72a2fb1a9c1cce4ee92b35d25d5a27/logo.jpg,Andrea Manson,https://i2.au.reastatic.net/150x200/d84dba87121258fcbe16e16964a8fdcfdffc8d25d9251dad2e3a8d3b102bee39/main.jpg,Sold,"$450,000",3,1,1,601,m²,House,Sold on 02 Nov 2017
"30/8 Earnshaw Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-126498614,https://i2.au.reastatic.net/340x64/210ccf5b72623e2b3d8e261ea8704808772d4e114c03b03c758194d9169866fa/logo.jpg,,,Sold,"$331,000",3,2,1,,m²,Townhouse,Sold on 27 Oct 2017
"18/138 Golden Avenue, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-126326726,https://i2.au.reastatic.net/340x64/c833a549a824b59175ebd61aa85677a309a42b6fd8b1fafb18699974b3844a52/logo.gif,,,Sold,"$305,000",3,2,1,,,Townhouse,Sold on 27 Oct 2017
"101 Hamish Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126510098,,,,Sold,"$570,000",3,2,3,,,House,Sold on 26 Oct 2017
