Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"44 St Patrick Avenue, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132164898,https://i2.au.reastatic.net/340x64/94a68dc77119e4fcd38eff2ce2d375ae09f70c4a0d0f8e0108111a0f883f7c4f/logo.jpg,Olive King,https://i2.au.reastatic.net/150x200/1ba60cf2cd8a8f954ecd4361da46d1446bed24e2f91d5b89290048261799c638/main.jpg,Sold,"$290,000",2,1,1,405,m²,House,Sold on 22 Nov 2019
"13 Clearview Close, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132094854,https://i2.au.reastatic.net/340x64/7df9d8e216907cd391190b1025628a5a8a7ef2ef53e00889f08229fe2088bc97/logo.jpg,Parnam Singh Heir,https://i2.au.reastatic.net/150x200/abbef6164721f4cd6df952fa526f27096827027051d90834e82853133a256919/main.jpg,Sold,"$870,000",5,3,2,680,m²,House,Sold on 15 Nov 2019
"19 Greenhaven Crescent, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-131855538,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$778,000",4,2,3,668,m²,House,Sold on 15 Nov 2019
"20 Pengam Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132077254,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Peter Florentzos,https://i2.au.reastatic.net/150x200/84ea12367769ad5dbeb41bbefb7309721995ae91c7f6a2b1a5020cd2fc86afde/main.jpg,Sold,"$700,000",5,4,2,450,m²,House,Sold on 15 Nov 2019
"44 Gungurru Crescent, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132219302,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Grant Boman,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMjAiIGhlaWdodD0iMTYwIj48L3N2Zz4K",Sold,"$640,000",4,2,2,800,m²,House,Sold on 15 Nov 2019
"(Lot 15) 2 Ismaeel Circuit, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-131861166,https://i2.au.reastatic.net/340x64/5189ecc0d52fa13cb364635d9aeb8b628e45acfea27eb8a18e6d42cfc047cc2b/logo.jpg,Happy Helen,https://i2.au.reastatic.net/150x200/ea168175cc1ecd3e08f84c564db3832d8989da2338d3d75e7b53c7e089965630/main.jpg,Sold,"$330,000",4,2,2,355,m²,House,Sold on 30 Oct 2019
"3 Livingstone Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-131914870,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Anton Silaen,https://i2.au.reastatic.net/150x200/a7787f19c4c1b919a130bd0ff749cc11724987434109ae990fe956c37889bfb1/main.jpg,Sold,"$547,000",4,2,2,523,m²,House,Sold on 21 Oct 2019
"10 Hatia Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-131851490,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Karl Gillespie,https://i2.au.reastatic.net/150x200/f5e6d6853b48b6a024fda5d0155ba60e23475aebca7fba76f281a8b7462d9b85/main.jpg,Sold,"$871,000",6,3,2,645,m²,House,Sold on 14 Oct 2019
"3 Edwin Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132040654,https://i2.au.reastatic.net/340x64/4252dc29805927c5efdae5c9cfbd12b6a12dbe3323a7d42dc635456ee4a03799/logo.jpg,Faraz Peyman,https://i2.au.reastatic.net/150x200/51439dbe736e205335fb3c4b5a3e535e63978652538d0edefe7cb6e460d7f707/main.jpg,Sold,"$790,000",5,3,4,600,m²,House,Sold on 30 Sep 2019
"21 Colne Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-131579830,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$615,200",5,2,2,512,m²,House,Sold on 30 Sep 2019
