Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"39 Auckland Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127710234,https://i2.au.reastatic.net/340x64/d1ba62f087067c48edd4eb4915c7f188249bfdc160a44c3aaf0037ed582d7c34/logo.jpg,,,Sold,"$710,000",3,1,2,804,m²,House,Sold on 24 Mar 2018
"1 Calanda Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127636070,https://i2.au.reastatic.net/340x64/d1ba62f087067c48edd4eb4915c7f188249bfdc160a44c3aaf0037ed582d7c34/logo.jpg,,,Sold,"$825,000",4,2,2,592,m²,House,Sold on 23 Mar 2018
"49 Stackpole St, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127440398,https://i2.au.reastatic.net/340x64/d1ba62f087067c48edd4eb4915c7f188249bfdc160a44c3aaf0037ed582d7c34/logo.jpg,,,Sold,"$620,000",3,1,2,577,m²,House,Sold on 15 Mar 2018
"17/15 Erindale Close, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-127505018,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ken Chin,https://i2.au.reastatic.net/150x200/a77f0e349b4d7fd48849531a42f35ca73c5a2f7139185f1105d7618618ccdc38/main.jpg,Sold,"$448,000",3,2,1,,,Townhouse,Sold on 13 Mar 2018
"6 Taroom Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127451962,https://i2.au.reastatic.net/340x64/4a9791117ac72a5613bdb069ee4504814707d3fe22b1d5da82af90b8029d0a1f/logo.jpg,Trent Ray,https://i2.au.reastatic.net/150x200/db841b83cca4b29682a67e744340afffdbb97963f76fb08352c6556423dda4c0/main.jpg,Sold,"$726,755",3,2,3,579,m²,House,Sold on 12 Mar 2018
"7 Weelsby Close, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-126850846,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jess Chia,https://i2.au.reastatic.net/150x200/e08e0effa5268afa8cd83747c84f88dc8775bd4801c193db0710e066c742de79/main.jpg,Sold,"$721,000",4,2,2,708,m²,House,Sold on 02 Mar 2018
"11 Balloch St, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127551806,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Grant Boman,https://i2.au.reastatic.net/150x200/5f5fb3cd037a390021054b4549e9ea560765fa351226c1588d7bc4126cf6bbbc/main.jpg,Sold,"$635,000",3,1,2,607,m²,House,Sold on 01 Mar 2018
"45/15 Erindale Close, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-127505542,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ken Chin,https://i2.au.reastatic.net/150x200/a77f0e349b4d7fd48849531a42f35ca73c5a2f7139185f1105d7618618ccdc38/main.jpg,Sold,"$485,000",3,2,1,,,Townhouse,Sold on 28 Feb 2018
"33 Anise Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127287474,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jess Chia,https://i2.au.reastatic.net/150x200/e08e0effa5268afa8cd83747c84f88dc8775bd4801c193db0710e066c742de79/main.jpg,Sold,"$950,000",5,2,4,710,m²,House,Sold on 26 Feb 2018
"16 Montreal Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127143326,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Julie Weir,https://i2.au.reastatic.net/150x200/2446d5672d0b8b0f99509ea2e0722484b5c498cf4b6350f08ac76dd602a444da/main.jpg,Sold,"$717,500",3,2,2,562,m²,House,Sold on 21 Feb 2018
"26 Cotswold Place, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-126879978,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,,,Sold,"$825,000",4,2,2,714,m²,House,Sold on 17 Feb 2018
"13/35 Lani Street, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-127343090,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$380,000",3,1,1,,,Townhouse,Sold on 12 Feb 2018
"66 Garie St, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127173950,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,,,Sold,"$610,000",3,1,2,,,House,Sold on 08 Feb 2018
"3/28 Stackpole Street, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-127278726,https://i2.au.reastatic.net/340x64/4a9791117ac72a5613bdb069ee4504814707d3fe22b1d5da82af90b8029d0a1f/logo.jpg,,,Sold,"$410,000",3,2,1,163,m²,Townhouse,Sold on 05 Feb 2018
"7 Tunney st, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127271862,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Julie Weir,https://i2.au.reastatic.net/150x200/2446d5672d0b8b0f99509ea2e0722484b5c498cf4b6350f08ac76dd602a444da/main.jpg,Sold,"$685,000",3,1,3,546,m²,House,Sold on 30 Jan 2018
"11 Calanda Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127135258,https://i2.au.reastatic.net/340x64/d1ba62f087067c48edd4eb4915c7f188249bfdc160a44c3aaf0037ed582d7c34/logo.jpg,,,Sold,"$717,000",3,2,2,627,m²,House,Sold on 29 Jan 2018
"35 Mindona Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127010214,https://i2.au.reastatic.net/340x64/4a9791117ac72a5613bdb069ee4504814707d3fe22b1d5da82af90b8029d0a1f/logo.jpg,,,Sold,"$722,000",4,2,2,700,m²,House,Sold on 25 Jan 2018
